Rank based on 3 metrics,,,Overall AUC,,,Average AUC across patients,,,Minimum AUC across patients,,
team,soln. file,avg. rank,team,soln. file,AUC,team,soln. file,AUC,team,soln. file,AUC
MatthiasEb,trainval_test.csv,1,MatthiasEb,trainval_test.csv,0.86674,MatthiasEb,trainval_test.csv,0.8916,MatthiasEb,trainval_test.csv,0.82574
gorjant,test_result_20Jun2019.csv,2,gorjant,test_result_20Jun2019.csv,0.86309,gorjant,test_result_20Jun2019.csv,0.85119,gorjant,test_result_20Jun2019.csv,0.78681
dvarnai,trial.04.csv,4.3333,dvarnai,trial.04.csv,0.84198,dvarnai,trial.04.csv,0.83845,hlya23dd,solution_10_sb3s5s3.csv,0.77646
dvarnai,trial.05.csv,5,michaln,contest_solution_file_2.csv,0.83928,dvarnai,trial.05.csv,0.83672,dvarnai,trial.05.csv,0.75652
michaln,contest_solution_file_9.csv,10.6667,michaln,contest_solution_file_9.csv,0.83674,michaln,contest_solution_file_9.csv,0.83383,MatthiasEb,nv1x16_posteriori.csv,0.75625
michaln,contest_solution_file_2.csv,11,michaln,contest_solution_file_8.csv,0.83466,michaln,contest_solution_file_2.csv,0.82943,hlya23dd,solution_8_sb1s5s3.csv,0.74312
dvarnai,trial.02.csv,11.3333,dvarnai,trial.05.csv,0.83204,michaln,contest_solution_file_8.csv,0.82684,dvarnai,trial.04.csv,0.7369
michaln,contest_solution_file_8.csv,11.3333,dvarnai,trial.02.csv,0.83096,hlya23dd,solution_10_sb3s5s3.csv,0.82324,michaln,contest_solution_file_10.csv,0.73524
dvarnai,trial.01.csv,11.6667,dvarnai,trial.01.csv,0.83052,dvarnai,test5.csv,0.82132,dvarnai,test3.csv,0.73413
dvarnai,test5.csv,13,michaln,contest_solution_file_4.csv,0.82859,michaln,contest_solution_file_4.csv,0.81986,dvarnai,trial.02.csv,0.73117
dvarnai,test10.csv,14,michaln,contest_solution_file_5.csv,0.82601,dvarnai,test10.csv,0.81785,dvarnai,trial.01.csv,0.72675
hlya23dd,solution_10_sb3s5s3.csv,14,michaln,contest_solution_file_7.csv,0.81806,michaln,contest_solution_file_5.csv,0.81448,dvarnai,test9.csv,0.72374
michaln,contest_solution_file_10.csv,14,dvarnai,test5.csv,0.81678,hlya23dd,solution_8_sb1s5s3.csv,0.81213,hlya23dd,solution_11_sb5s5s3.csv,0.72215
hlya23dd,solution_11_sb5s5s3.csv,15.3333,dvarnai,test11.csv,0.81654,hlya23dd,solution_11_sb5s5s3.csv,0.80514,hlya23dd,solution_5_s2s1s2.csv,0.7219
michaln,contest_solution_file_4.csv,16.6667,michaln,contest_solution_file_10.csv,0.81533,dvarnai,trial.01.csv,0.80403,dvarnai,test10.csv,0.72054
dvarnai,test9.csv,17,dvarnai,test10.csv,0.81098,dvarnai,trial.02.csv,0.80377,dvarnai,test4.csv,0.71912
michaln,contest_solution_file_5.csv,18,notsorandomanymore,winning_solution.csv,0.80701,hlya23dd,solution_7_s6s5s3.csv,0.80127,dvarnai,test5.csv,0.71658
dvarnai,test11.csv,19.3333,dvarnai,test9.csv,0.80421,hlya23dd,solution_3_s5s5s3.csv,0.80085,dvarnai,test11.csv,0.71169
hlya23dd,solution_7_s6s5s3.csv,20,hlya23dd,solution_11_sb5s5s3.csv,0.79883,michaln,contest_solution_file_10.csv,0.80026,hlya23dd,solution_7_s6s5s3.csv,0.71053
